time,x,y,z
0,0,0,1
0.001,-9e-08,-0.001,1
0.002,-3.6e-07,-0.002,0.999998
0.003,-8.09999e-07,-0.003,0.999996
0.004,-1.44e-06,-0.00399999,0.999992
0.005,-2.25e-06,-0.00499998,0.999988
0.006,-3.23999e-06,-0.00599996,0.999982
0.007,-4.40998e-06,-0.00699994,0.999976
0.008,-5.75997e-06,-0.00799991,0.999968
0.009,-7.28995e-06,-0.00899987,0.99996
0.01,-8.99992e-06,-0.00999983,0.99995
0.011,-1.08899e-05,-0.0109998,0.99994
0.012,-1.29598e-05,-0.0119997,0.999928
0.013,-1.52098e-05,-0.0129996,0.999916
0.014,-1.76397e-05,-0.0139995,0.999902
0.015,-2.02496e-05,-0.0149994,0.999888
0.016,-2.30395e-05,-0.0159993,0.999872
0.017,-2.60094e-05,-0.0169992,0.999856
0.018,-2.91592e-05,-0.017999,0.999838
0.019,-3.2489e-05,-0.0189988,0.99982
0.02,-3.59988e-05,-0.0199986,0.9998
0.021,-3.96885e-05,-0.0209984,0.99978
0.022,-4.35582e-05,-0.0219982,0.999758
0.023,-4.76078e-05,-0.0229979,0.999736
0.024,-5.18374e-05,-0.0239976,0.999712
0.025,-5.6247e-05,-0.0249973,0.999688
0.026,-6.08365e-05,-0.025997,0.999662
0.027,-6.56059e-05,-0.0269966,0.999636
0.028,-7.05552e-05,-0.0279962,0.999608
0.029,-7.56845e-05,-0.0289958,0.99958
0.03,-8.09937e-05,-0.0299954,0.99955
0.031,-8.64828e-05,-0.0309949,0.99952
0.032,-9.21519e-05,-0.0319944,0.999488
0.033,-9.80008e-05,-0.0329938,0.999456
0.034,-0.00010403,-0.0339932,0.999422
0.035,-0.000110238,-0.0349926,0.999388
0.036,-0.000116627,-0.035992,0.999352
0.037,-0.000123195,-0.0369913,0.999316
0.038,-0.000129944,-0.0379906,0.999278
0.039,-0.000136872,-0.0389898,0.99924
0.04,-0.00014398,-0.039989,0.9992
0.041,-0.000151268,-0.0409881,0.99916
0.042,-0.000158736,-0.0419873,0.999118
0.043,-0.000166384,-0.0429863,0.999076
0.044,-0.000174211,-0.0439853,0.999032
0.045,-0.000182218,-0.0449843,0.998988
0.046,-0.000190405,-0.0459833,0.998942
0.047,-0.000198772,-0.0469821,0.998896
0.048,-0.000207319,-0.047981,0.998848
0.049,-0.000216045,-0.0489798,0.9988
0.05,-0.000224952,-0.0499785,0.99875
0.051,-0.000234038,-0.0509772,0.9987
0.052,-0.000243303,-0.0519758,0.998648
0.053,-0.000252749,-0.0529744,0.998596
0.054,-0.000262374,-0.0539729,0.998542
0.055,-0.000272179,-0.0549714,0.998488
0.056,-0.000282164,-0.0559698,0.998432
0.057,-0.000292328,-0.0569681,0.998376
0.058,-0.000302672,-0.0579664,0.998318
0.059,-0.000313196,-0.0589647,0.99826
0.06,-0.0003239,-0.0599628,0.998201
0.061,-0.000334783,-0.060961,0.99814
0.062,-0.000345846,-0.061959,0.998079
0.063,-0.000357088,-0.062957,0.998016
0.064,-0.00036851,-0.0639549,0.997953
0.065,-0.000380112,-0.0649528,0.997888
0.066,-0.000391893,-0.0659505,0.997823
0.067,-0.000403854,-0.0669483,0.997756
0.068,-0.000415994,-0.0679459,0.997689
0.069,-0.000428315,-0.0689435,0.99762
0.07,-0.000440814,-0.069941,0.997551
0.071,-0.000453493,-0.0709384,0.997481
